download_count,project
2545740308,"boto3"
1460015847,"packaging"
1321128555,"urllib3"
1265067246,"certifi"
1256760661,"idna"
1244309463,"requests"
1189713088,"typing-extensions"
1135248216,"charset-normalizer"
1029682531,"setuptools"
1023183883,"botocore"
951966204,"cryptography"
867599549,"aiobotocore"
864232409,"python-dateutil"
843220523,"six"
836435506,"pyyaml"
833006823,"pydantic"
819943701,"pygments"
800762100,"cffi"
774966185,"click"
757911110,"numpy"
752974616,"pluggy"
732449005,"pycparser"
729988887,"pydantic-core"
674003690,"grpcio-status"
673474671,"anyio"
655304547,"s3transfer"
649186630,"attrs"
642456071,"protobuf"
624887054,"h11"
614459660,"pytest"
599327077,"annotated-types"
586552744,"iniconfig"
583847575,"fsspec"
568404817,"httpx"
557127355,"httpcore"
548985110,"typing-inspection"
547592048,"pandas"
540077558,"pip"
529370315,"s3fs"
518568700,"markupsafe"
490239540,"platformdirs"
484353671,"python-dotenv"
483121283,"pathspec"
469024740,"pyjwt"
467234930,"jinja2"
464658919,"rich"
453832339,"jmespath"
452750256,"markdown-it-py"
452625941,"aiohttp"
445443581,"filelock"
427391414,"importlib-metadata"
426901109,"yarl"
421175102,"starlette"
420433470,"multidict"
419945545,"jsonschema"
416417786,"zipp"
414211143,"uvicorn"
412862046,"propcache"
411387448,"wheel"
408663755,"mdurl"
406713691,"pyasn1"
402292727,"pytz"
399365157,"google-auth"
392300894,"googleapis-common-protos"
391580727,"frozenlist"
389294812,"litellm"
388913935,"fastapi"
385551678,"rpds-py"
377969634,"tqdm"
377789569,"annotated-doc"
377049316,"aiosignal"
376281506,"referencing"
371019810,"jsonschema-specifications"
365087263,"trove-classifiers"
364688574,"tzdata"
364660772,"google-api-core"
364386512,"aiohappyeyeballs"
356325230,"pillow"
355024097,"virtualenv"
342410638,"greenlet"
337524241,"colorama"
335112630,"pyasn1-modules"
334241693,"typer"
334067744,"grpcio"
326211277,"opentelemetry-sdk"
324985425,"tenacity"
317511465,"wrapt"
314629458,"requests-oauthlib"
314542196,"opentelemetry-api"
312707719,"pyarrow"
310818905,"awscli"
310587910,"websockets"
304208178,"opentelemetry-semantic-conventions"
304145520,"python-multipart"
299592418,"scipy"
291787784,"sniffio"
290434462,"pydantic-settings"
289535247,"sqlalchemy"
286615283,"pyparsing"
286360093,"shellingham"
282727653,"tomli"
281822026,"lxml"
281136249,"beautifulsoup4"
279040563,"oauthlib"
278867220,"soupsieve"
277251769,"psutil"
272498556,"regex"
251870970,"cachetools"
250785632,"textual"
248816068,"sglang"
248189955,"openai"
247794946,"exceptiongroup"
247396398,"hatchling"
245105053,"opentelemetry-proto"
242716536,"more-itertools"
241809067,"requests-toolbelt"
237690467,"watchfiles"
235894948,"rsa"
231508409,"tomlkit"
231115371,"proto-plus"
229953414,"distro"
228165482,"distlib"
228129292,"jiter"
224524010,"mcp"
217443508,"websocket-client"
217164764,"mypy-extensions"
216398661,"opentelemetry-exporter-otlp-proto-http"
214698404,"langchain"
214214165,"openpyxl"
212566880,"et-xmlfile"
208592141,"sse-starlette"
206692918,"wcwidth"
206036890,"editables"
202977155,"coverage"
202665536,"docutils"
200873272,"huggingface-hub"
200334490,"grpcio-tools"
198701906,"pydantic-ai-slim"
198258912,"dnspython"
194806237,"werkzeug"
194673957,"networkx"
194529071,"google-cloud-storage"
192411690,"redis"
192010525,"gitpython"
191959124,"google-genai"
191614812,"msgpack"
188844890,"psycopg2-binary"
188331593,"pyopenssl"
184813672,"ptyprocess"
184426457,"decorator"
184045093,"python-discovery"
183788331,"opentelemetry-exporter-otlp-proto-grpc"
183398563,"opentelemetry-exporter-otlp-proto-common"
181646418,"smmap"
181563663,"pexpect"
180187871,"opentelemetry-instrumentation"
179640040,"ruff"
179258259,"docker"
177429368,"pynacl"
175817326,"sortedcontainers"
170743904,"keyring"
170071879,"docstring-parser"
169863403,"uvloop"
168989442,"httptools"
168600599,"fonttools"
167859327,"multiprocess"
164456465,"tabulate"
164238767,"gitdb"
163139372,"matplotlib"
163085822,"isodate"
162907796,"async-timeout"
162679568,"httpx-sse"
162595956,"prompt-toolkit"
162238588,"jaraco-classes"
160727618,"azure-core"
159336032,"secretstorage"
159287217,"jeepney"
158725971,"azure-identity"
158557721,"scikit-learn"
156556502,"itsdangerous"
156235598,"flask"
155806031,"google-cloud-core"
155471317,"hf-xet"
152847036,"bcrypt"
152331029,"jaraco-functools"
151372794,"kiwisolver"
151284588,"jaraco-context"
150977522,"dill"
147616747,"joblib"
146577715,"pytest-cov"
144497589,"pytest-asyncio"
144294839,"contourpy"
143463398,"alembic"
142984906,"orjson"
142530112,"email-validator"
142468493,"deprecated"
141897158,"msal"
141738853,"google-resumable-media"
141211672,"google-crc32c"
140144843,"chardet"
139955830,"ruamel-yaml"
139951651,"defusedxml"
139859984,"threadpoolctl"
137398717,"tokenizers"
136809174,"blinker"
136724328,"snowflake-connector-python"
136508822,"kubernetes"
134744390,"tiktoken"
134097282,"pytest-json-ctrf"
133601576,"mako"
131404640,"cycler"
131170477,"tzlocal"
130087434,"toml"
129327916,"mypy"
129176173,"google-api-python-client"
129142675,"sympy"
128878487,"jsonpointer"
128158765,"poetry-core"
126894450,"nodeenv"
126235948,"databricks-sql-connector"
126165226,"pydantic-graph"
125286234,"xxhash"
125128247,"pyproject-hooks"
124634154,"uv"
123453382,"zstandard"
122748304,"ipython"
121547930,"google-cloud-aiplatform"
121149556,"uritemplate"
121107459,"opentelemetry-exporter-otlp"
121097280,"prometheus-client"
120684904,"google-auth-oauthlib"
120591668,"asn1crypto"
120536552,"google-auth-httplib2"
119531886,"rapidfuzz"
117180137,"google-cloud-bigquery"
117142071,"build"
117021790,"traitlets"
116854670,"opentelemetry-instrumentation-requests"
115965498,"opentelemetry-util-http"
115848288,"google-cloud-secret-manager"
115600651,"paramiko"
114989311,"httplib2"
114967129,"types-requests"
114586280,"ydb"
114215284,"identify"
113570167,"transformers"
112701278,"pre-commit"
112079819,"cfgv"
111870881,"jedi"
111687368,"aiofiles"
111462728,"google-cloud-batch"
111430125,"parso"
110037719,"backoff"
109399933,"executing"
108920876,"weaviate-client"
107506227,"h2"
106981774,"marshmallow"
106769981,"hyperframe"
106691824,"fastjsonschema"
106485846,"hpack"
105577124,"matplotlib-inline"
105544456,"sqlparse"
105338689,"mpmath"
104048424,"durationpy"
103782982,"msal-extensions"
103647770,"jsonpatch"
103128922,"asttokens"
102222049,"setuptools-scm"
101482178,"azure-storage-blob"
100857054,"google-analytics-admin"
100818230,"gunicorn"
100643878,"anthropic"
100563688,"babel"
99827416,"cloudpickle"
99121389,"authlib"
98938730,"grpc-google-iam-v1"
98934370,"pure-eval"
98831597,"stack-data"
97578974,"black"
96997629,"datasets"
96964215,"sentry-sdk"
96878868,"google-cloud-compute"
96181421,"google-cloud-kms"
95338097,"pytest-xdist"
94909530,"langchain-core"
94860861,"asgiref"
94611687,"tornado"
94131201,"gcsfs"
94078776,"xmltodict"
93661637,"webencodings"
93310764,"cython"
93023761,"nest-asyncio"
91676970,"execnet"
91484047,"databricks-sdk"
90295923,"dbt-core"
88809944,"librt"
87931190,"termcolor"
87350938,"python-json-logger"
86914208,"pyee"
85919471,"pandas-stubs"
85717869,"py4j"
85445258,"markdown"
84528570,"google-cloud-dlp"
83425605,"playwright"
83229140,"pyzmq"
82967439,"cachecontrol"
82810174,"importlib-resources"
82426882,"joserfc"
81970714,"google-cloud-speech"
81916172,"vcs-versioning"
81328300,"pymongo"
80994189,"watchdog"
79973653,"debugpy"
79902919,"google-cloud-pubsub"
78902949,"tree-sitter"
77817027,"google-cloud-texttospeech"
77803584,"typing-inspect"
76010839,"llama-parse"
75356483,"dbt-adapters"
75280573,"llama-cloud-services"
74490470,"aioitertools"
74276263,"rich-toolkit"
73583194,"isort"
70356947,"structlog"
70250710,"pycryptodome"
70226260,"tinycss2"
70037415,"pytest-mock"
69927243,"slack-sdk"
69110581,"asyncpg"
68531888,"torch"
68417278,"mdit-py-plugins"
68036131,"pymysql"
67957675,"google-cloud-tasks"
67917785,"dulwich"
67739939,"langsmith"
67414337,"lz4"
67281571,"jupyter-core"
67069489,"jsonschema-path"
66897865,"google-cloud-monitoring"
66866380,"flatbuffers"
66665700,"narwhals"
66269518,"msrest"
66114443,"ruamel-yaml-clib"
65763939,"pkginfo"
65535405,"grpcio-health-checking"
65385579,"installer"
65370669,"google-cloud-bigtable"
65011578,"cyclopts"
64913481,"google-cloud-logging"
64773228,"mccabe"
64444788,"jupyter-client"
64088199,"pyperclip"
64053426,"dataclasses-json"
